,date,helpful,name,rating,review_body,review_title
157,10 July 2019,,Jadhav Trupti Prakash,5.0 out of 5 stars,"Best smartphone at lowest price.Amazing features.Loved it.
","Best Smartphone at this price range.
"
158,25 June 2019,,SUDIPA,5.0 out of 5 stars,"I got it for my mom and she loves it
","A good product for its price
"
159,10 June 2019,One person found this helpful,Amazon Customer,4.0 out of 5 stars,"Amazing phone for the price range
","Perfect
"
160,9 July 2019,,Amazon Customer,3.0 out of 5 stars,"Waste money on this mobile purchase. Bad camera quality, battery life is so small. And many other issues also it has.
","Honor 9N पैसा वेस्ट. It's cost can purchase very good quality product
"
161,21 July 2019,,ABHISHEK S.,5.0 out of 5 stars,"Well product by honor
","Nice phone
"
162,6 July 2019,,shristy,4.0 out of 5 stars,"It my first mobile phone so I liked it. It is easy to use or isme game mode bhi hai so Iiked it😁
","Love
"
163,21 July 2019,,mohan k b,5.0 out of 5 stars,"Good product
","Nice one
"
164,28 May 2019,,Amazon Customer,1.0 out of 5 stars,"Call gone directly without call.Phone n. Save but no so in contact list. Application automatically delete.
","Sofftwear not good
"
165,9 July 2019,,narendar,2.0 out of 5 stars,"Phone is heating whithin 30 min when using  Internet and not satisfied display size very short compair with other branded mobiles
","Heating problem and short size length
"
166,2 June 2019,,Abrar,3.0 out of 5 stars,"Back camera pixels are very poor it does not match with13 mp camera all waste of money and with this ears phn are also not there
","Back camera
"
167,15 June 2019,,Santhosh,3.0 out of 5 stars,"Not bad, heating some times like when I use Bluetooth, charging time and  gaming,I can give 3/5 rating for this product
","3/5 rating
"
168,1 August 2019,,KONDA SIVA RAMA PRASAD,5.0 out of 5 stars,"Excellent
","Excellent 👍
"
169,7 June 2019,,jubal,5.0 out of 5 stars,"Very gud mobile. No any issues yet. For this money its valuable
","Value for money
"
170,20 June 2019,,Amazon Customer,4.0 out of 5 stars,"Everything is nice go ahead n buy it.value for money I only trust huawei n to purchase only Amazon.
","Value n trust
"
171,23 June 2019,,Veeresh S.,2.0 out of 5 stars,"Phone is heating very fast. Charge is consuming very fast. I think totally no value for money. Bad product purchased ever...
","Very bad product
"
172,20 June 2019,,Vishnu N Rajan,2.0 out of 5 stars,"Display quality is poor. Touch response is Not impressive. 4GB +64 is the highlight but the device is not very fast
","Average Mobile
"
173,28 July 2019,,DHEERAJ KUMAR,3.0 out of 5 stars,"Battery back up not good net not work fast
","Looking good
"
174,28 July 2019,,Manish Togaria,3.0 out of 5 stars,"In this range thi is fine cellphone.You can purchase it.Battery,Camera and processing is good.
","A step for HONOR 9N
"
